URL	Title	Brief Description	Institution/Collection	Keywords	Relevance	Theme	Geographic Scope	Time Period	Link Strength
https://www.nationaltrust.org.uk/visit/northern-ireland/giants-causeway	Giant's Causeway Collection Ð Related to Grand Causeway	National Trust interpretation, history, geology and visitor resources	National Trust	Giant's Causeway, Grand Causeway, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Grand Causeway through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Geology	County Antrim / Northern Ireland	19th century to present	Very High
https://whc.unesco.org/en/list/369	Giant's Causeway UNESCO Site Ð Related to Honeycomb	World Heritage geology and landscape documentation	UNESCO	Giant's Causeway, Honeycomb, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Honeycomb through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Photography	County Antrim / Northern Ireland	19th century to present	High
https://www.bgs.ac.uk/discovering-geology/maps-and-resources/office-geology/the-giants-causeway-and-causeway-coast/	Causeway Coast Geology Ð Related to Wishing Chair	Geological interpretation of basalt formations	British Geological Survey	Giant's Causeway, Wishing Chair, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Wishing Chair through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Folklore	County Antrim / Northern Ireland	19th century to present	Medium
https://collections.nationalmuseumsni.org/category/NMNITHES506134/photographs	Northern Ireland Historic Photographs Ð Related to Organ	Historic photographs across Northern Ireland	National Museums NI	Giant's Causeway, Organ, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Organ through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Tourism	County Antrim / Northern Ireland	19th century to present	Very High
https://www.nli.ie/collections/our-collections/photographs	Irish Photographic Collections Ð Related to Chimney Stacks	Historic Irish photographs and topography	National Library of Ireland	Giant's Causeway, Chimney Stacks, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Chimney Stacks through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Historic Maps	County Antrim / Northern Ireland	19th century to present	High
https://www.communities-ni.gov.uk/topics/historic-environment-record-northern-ireland-heroni	HERoNI Ð Related to Portnaboe	Historic environment records	Historic Environment Record NI	Giant's Causeway, Portnaboe, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Portnaboe through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Social History	County Antrim / Northern Ireland	19th century to present	Medium
https://www.proni.gov.uk/proni-historical-maps-viewer	PRONI Historical Maps Ð Related to Hamiltons Seat	Historical mapping resources	PRONI	Giant's Causeway, Hamiltons Seat, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Hamiltons Seat through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Geology	County Antrim / Northern Ireland	19th century to present	Very High
https://www.duchas.ie/en/info/cbe	National Folklore Collection Ð Related to Giants Eye	Folklore, oral history and traditions	UCD National Folklore Collection	Giant's Causeway, Giants Eye, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Giants Eye through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Photography	County Antrim / Northern Ireland	19th century to present	High
https://digital.library.leeds.ac.uk/view/bingley/	Godfrey Bingley Archive Ð Related to Basaltic Colour	Full archive of Bingley photographs	University of Leeds	Giant's Causeway, Basaltic Colour, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Basaltic Colour through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Folklore	County Antrim / Northern Ireland	19th century to present	Medium
https://commons.wikimedia.org/wiki/Category:Giant%27s_Causeway	Giant's Causeway Media Ð Related to Ladys Fan	Open image repository	Wikimedia Commons	Giant's Causeway, Ladys Fan, basalt, geology, folklore, tourism, photography, County Antrim	Connects directly to Bingley archive images of Ladys Fan through shared geography, geological formations, tourism history, landscape interpretation, folklore and heritage documentation.	Tourism	County Antrim / Northern Ireland	19th century to present	Very High
